Title,Composer,Rhythm,TimeSignature,Sections,Key,Year
9.20 Special,Earl Warren,Medium Swing,4/4,"[{'Label': 'A', 'MainSegment': {'Chords': 'D9|Fm6|D9|Fm6|C|C7,B7,Bb7,A7'}, 'Endings': [{'Chords': 'D9|G7,Ab7,G7,'}, {'Chords': 'D9|G7,C6'}]}, {'Label': 'B', 'MainSegment': {'Chords': 'C7|C7|F6|F6|D7|D7|G7|G7'}}, {'Label': 'A', 'MainSegment': {'Chords': 'D9|Fm6|D9|Fm6|C|C7,B7,Bb7,A7|D9|G7,C6'}}]",,1941.0
26-2,John Coltrane,Medium Up Swing,4/4,"[{'Label': 'A', 'MainSegment': {'Chords': 'Fmaj7,Ab7|Dbmaj7,E7|Amaj7,C7|Cm7,F7|Bbmaj7,Db7|Gbmaj7,A7|Dm7,G7|Gm7,C7'}}, {'Label': 'A', 'MainSegment': {'Chords': 'Fmaj7,Ab7|Dbmaj7,E7|Amaj7,C7|Cm7,F7|Bbmaj7,Ab7|Dbmaj7,E7|Amaj7,C7|Fmaj7'}}, {'Label': 'B', 'MainSegment': {'Chords': 'Cm7,F7|Em7,A7|Dmaj7,F7|Bbmaj7|Ebm7|Ab7|Dbmaj7|Gm7,C7'}}, {'Label': 'A', 'MainSegment': {'Chords': 'Fmaj7,Ab7|Dbmaj7,E7|Amaj7,C7|Cm7,F7|Bbmaj7,Ab7|Dbmaj7,E7|Amaj7,C7|Fmaj7'}}]",F,1960.0
52nd Street Theme,Thelonious Monk,Up Tempo Swing,4/4,"[{'Label': 'A', 'Repeats': 1, 'MainSegment': {'Chords': 'C,Am7|Dm7,G7|C,Am7|Dm7,G7|C,Am7|Dm7,G7|C,G7|C'}}, {'Label': 'B', 'MainSegment': {'Chords': 'C7|C7|F6|F6|D7|D7|G7|G7'}}, {'Label': 'A', 'MainSegment': {'Chords': 'C,Am7|Dm7,G7|C,Am7|Dm7,G7|C,Am7|Dm7,G7|C,G7|C'}}]",,1947.0
500 Miles High,Chick Corea,Bossa Nova,4/4,"[{'MainSegment': {'Chords': 'Em7|Em7|Gm7|Gm7|Bbmaj7|Bbmaj7|Bm7b5|E7#9|Am7|Am7|F#m7b5|F#m7b5|Fm7|Fm7|Cm7|Cm7|B7#9|B7#9'}}, {'Repeats': 1, 'MainSegment': {'Chords': 'Cm7|Cm7|Abmaj7|Abmaj7'}}]",Emin,1972.0
502 Blues,Jimmy Rowles,Waltz,3/4,"[{'MainSegment': {'Chords': 'Am7|Dbmaj7|Bm7b5|E7#9|Am7|Dbmaj7|Bm7b5|E7#9|Cm7|F7b9|Bbmaj7|Abm7,Db7'}, 'Endings': [{'Chords': 'F#m7b5|B7b9|Emaj7#5|Emaj7#5,E7'}, {'Chords': 'F#m7b5|B7b9|Em7|Em7'}]}]",Amin,1958.0
A Ballad,Gerry Mulligan,Ballad,4/4,"[{'Label': 'A', 'MainSegment': {'Chords': 'Dm7,G7|Cmaj7,Am7|C#m7,F#7#9|Bmaj7|Em7,A7b9#5|F#m7,B7b9'}, 'Endings': [{'Chords': 'Em7,A7|Dmaj7,B7b13|Em7,Gm6|F#m7,F07|Em7,A7'}, {'Chords': 'Dm7,G7|Em7,A7b9|Dm7,Fm/maj7|Em7,Eb07|Dm7,G7|Cmaj7'}]}, {'MainSegment': {'Chords': 'Fm7,Bb7|Gm7,Gb07|Fm7,Bb7b9|Ebmaj7|Ebm7,Ab7|Dbmaj7,Em7|Ebm7,Ab7b9|Dbmaj7,,Em7,A7'}}, {'Label': 'B', 'MainSegment': {'Chords': 'Dm7,G7|Cmaj7,Am7|C#m7,F#7#9|Bmaj7|Em7,A7b9#5|F#m7,B7b9|Em7,A7|F#m7,B7b9|Em7,Gm6|F#m7,F07|Em7,A7|Dmaj7'}}, {'Label': 'A', 'MainSegment': {'Chords': 'Dm7,G7|Em7,A7#9|A7#9,Ab7#9(Ab0),(A0),(Bb0),(B0)|G7,Cmaj9'}}]",,
A Beautiful Friendship,Donald Kahn,Medium Swing,4/4,"[{'Label': 'A', 'Repeats': 1, 'MainSegment': {'Chords': 'Cmaj7|Gb7#11|Fmaj7|Em7b5,A7b9|Am7|D7|Dm7|G7'}}, {'Label': 'B', 'MainSegment': {'Chords': 'Gm7|C7|Fmaj7|Bb7|Em7|A7|D7|G7#5'}}, {'Label': 'A', 'MainSegment': {'Chords': 'Cmaj7|Gb7#11|Fmaj7|Em7b5,A7b9|Dm7|G7|C6,A7|D7,G7'}}]",,1942.0
A Blossom Fell,Barnes-Cornelius,Ballad,4/4,"[{'Label': 'A', 'MainSegment': {'Chords': 'Bb6,B0|Cm7|F7,F7#5|Bb6|Bbmaj7/D,Db0|Cm7,F7|Cm7,F7|Bb6,B0,F7/C,F7'}}, {'Label': 'B', 'MainSegment': {'Chords': 'Bb6,B0|Cm7|F7,F7#5|Bb6,Bb7#5|Ebmaj7|Bbmaj7/D|Cm7|Bb6,Bb7#5|Ebmaj7,Ebm6|Bbmaj7/D,Db07|Cm7,F7|Bb6,,Cm7,F7'}}]",Bb,1954.0
A Certain Smile,Fain-Webster,Medium Swing,4/4,"[{'Label': 'A', 'MainSegment': {'Chords': 'Gm7|C7|F6|Dm7|Gm7|C7|Fmaj7|Fmaj7'}}, {'Label': 'B', 'MainSegment': {'Chords': 'Em7|A7|Dm7|G7|Cmaj7,Am7|Dm7,G7|Gm7|C7'}}, {'Label': 'A', 'MainSegment': {'Chords': 'Gm7|C7|F6|Dm7|Gm7|C7|Fmaj7|Cm7,F7'}}, {'Label': 'C', 'MainSegment': {'Chords': 'Bbmaj7|Am7b5,D7b9|Gm7|Bbm6|Fmaj7/C,Dm7|Gm7,C7|F6|F6'}}]",F,1958.0
A Child Is Born,Roland Hanna,Waltz,3/4,"[{'Label': 'A', 'MainSegment': {'Chords': 'Bbmaj7|Ebm/Bb|Bbmaj7|Ebm/Bb|Bbmaj7|Ebm/Bb|Am7b5|D7#9|Gm7|D7#5|Gm7|D7#5|Gm7|C7|F7sus|F7'}}, {'Label': 'B', 'MainSegment': {'Chords': 'Bbmaj7|Ebm/Bb|Bbmaj7|Ebm/Bb|Bbmaj7|D7alt|Ebmaj7|Ab7|Bb/F|Gb6|Gm7|C7|F7sus|F7'}}]",Bb,1965.0
